id,name,chain_name,verification_status,prefecture,city,address,official_url,official_store_id,latitude,longitude,coordinate_source,coordinate_checked_at
"95565f2d-6a5b-48b1-b2c4-c74dd310597b","カプセル楽局武蔵新城あいもーる店","カプセル楽局","confirmed","神奈川県","null","神奈川県川崎市中原区新城3丁目17番1号 TSビル1F","https://www.warehousenet.jp/capsule","null","35.5846893","139.6280301","カプセル楽局公式Google Mapsリンク","2026-07-22"
"98013d68-7fd4-4f3e-a908-564c7760c980","カプセル楽局大宮すずらん通り店","カプセル楽局","confirmed","埼玉県","null","埼玉県さいたま市大宮区大門町1丁目17番","https://www.warehousenet.jp/capsule","null","35.9070003","139.6258959","カプセル楽局公式Google Mapsリンク","2026-07-22"
"98ae64ce-4e7f-4705-937d-09bea309d48f","カプセル楽局松戸駅西口店","カプセル楽局","confirmed","千葉県","null","千葉県松戸市本町1丁目23番 W松戸1F","https://www.warehousenet.jp/capsule","null","35.78393","139.8997","カプセル楽局公式Google Mapsリンク","2026-07-22"
"9bea1c8b-04c6-44f2-8243-e16906b89202","カプセル楽局方南町駅前店","カプセル楽局","confirmed","東京都","null","東京都杉並区方南2丁目13番7号","https://www.warehousenet.jp/capsule","null","35.6834042","139.6584862","カプセル楽局公式Google Mapsリンク","2026-07-22"
"9c8327bd-cdc4-4a34-aa0b-00a550c5fdab","GiGOフジモール吹上","GiGO","candidate","埼玉県","null","埼玉県鴻巣市袋90-1 フジモール吹上 2階","https://www.gendagigo.jp/shop.html","null","36.0962","139.4663","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"9e87d252-a12e-4d9e-96c1-1170168e612e","カプセル楽局渋谷センター街店","カプセル楽局","confirmed","東京都","null","東京都渋谷区宇田川町29番3号 渋谷平松ビル","https://www.warehousenet.jp/capsule","null","35.6605331","139.6984718","カプセル楽局公式Google Mapsリンク","2026-07-22"
"9fe48e28-4f5d-4edc-8441-3ef13dd323a0","カプセル楽局浜田山店","カプセル楽局","confirmed","東京都","null","東京都杉並区浜田山3丁目30−5 越路ビル","https://www.warehousenet.jp/capsule","null","35.68195","139.6277042","カプセル楽局公式Google Mapsリンク","2026-07-22"
"a044b34c-e3d5-4a8e-87fb-aba9198ef231","GiGOららぽーと甲子園","GiGO","candidate","兵庫県","null","兵庫県西宮市甲子園八番町1-100ららぽーと甲子園2F","https://www.gendagigo.jp/shop.html","null","34.717068","135.36261","既存登録座標(住所完全一致)","2026-07-22"
"a3a36c18-a4f9-4c71-8eca-81851e050bc7","GiGO倉敷","GiGO","candidate","岡山県","null","岡山県倉敷市西中新田八反割535-2","https://www.gendagigo.jp/shop.html","null","34.5839","133.7699","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a3ad2cfc-cce1-4050-a9d3-5e09a4a4558f","GiGOルビットタウン高山","GiGO","candidate","岐阜県","null","岐阜県高山市岡本町3-18-2 ルビットタウン高山店 2F","https://www.gendagigo.jp/shop.html","null","36.1494","137.2467","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a42af198-d47f-4780-a996-18f90cccd020","GiGO水戸オーパ","GiGO","candidate","茨城県","null","茨城県水戸市宮町1丁目7番33号 水戸オーパ7階","https://www.gendagigo.jp/shop.html","null","36.3705","140.4757","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a46fd7d6-3b19-42ea-958c-ed08badc001f","GiGO別府","GiGO","candidate","大分県","null","大分県別府市餅ケ浜町161-2","https://www.gendagigo.jp/shop.html","null","33.2956","131.5031","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a47177b1-5ac3-4d06-b817-f3f08c94712c","GiGO海田","GiGO","candidate","広島県","null","広島県安芸郡海田町南大正町3-35","https://www.gendagigo.jp/shop.html","null","34.3677","132.5337","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a6f6d149-2e6f-41a5-9856-6b8e22997cb8","GiGOゆめタウン飯塚","GiGO","candidate","福岡県","null","福岡県飯塚市菰田西3-6-1 ゆめタウン飯塚3F","https://www.gendagigo.jp/shop.html","null","33.6302","130.6857","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"a88d14e9-3965-4047-8b97-eeac133f3e14","GiGO豊科","GiGO","candidate","長野県","null","長野県安曇野市豊科南穂高1115","https://www.gendagigo.jp/shop.html","null","36.3030937","137.9224821","バンダイ公式店舗API(住所完全一致)","2026-07-22"
"a9cf52e7-6e39-4d5a-829f-7bbd3aff00f2","カプセル楽局ときわ台駅前店","カプセル楽局","confirmed","東京都","null","東京都板橋区南常盤台1-23-14","https://www.warehousenet.jp/capsule","null","35.7579926","139.6871491","カプセル楽局公式Google Mapsリンク","2026-07-22"
"abd42e9c-da02-40ae-82c4-2a79221a9bfd","GiGO天満屋ハピータウン岡北","GiGO","candidate","岡山県","null","岡山県岡山市北区中井町2-2-7 天満屋ハピータウン岡北店内3F","https://www.gendagigo.jp/shop.html","null","34.6798","133.9286","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"ad6ee082-8b97-4147-8526-0c1772d08afb","GiGOスマーク伊勢崎","GiGO","candidate","群馬県","null","群馬県伊勢崎市西小保方町368スマーク伊勢崎3F302区画","https://www.gendagigo.jp/shop.html","null","36.3399","139.2314","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"ae1e5a96-165f-4236-9314-4fcd76520421","カプセル楽局亀有店","カプセル楽局","confirmed","東京都","null","東京都葛飾区亀有3丁目33-3","https://www.warehousenet.jp/capsule","null","35.7644189","139.8297985","カプセル楽局公式Google Mapsリンク","2026-07-22"
"ae7b3da8-cb22-41ea-bb3d-9998d8136975","ガチャガチャの森イオンモール高岡店","ガチャガチャの森","confirmed","富山県","null","富山県高岡市下伏間江383番地 イオンモール高岡東館2F","https://www.gachagachanomori.com/shoplist","null","36.7239035453006","137.01671130122","バンダイ公式店舗API(店舗名完全一致)","2026-07-22"
"aea8d57a-8cc5-441d-9e88-f046a2ba2290","ヨドバシカメラ 新宿西口本店","ヨドバシカメラ","candidate","東京都","null","東京都新宿区西新宿1-11-1","https://global.yodobashi/stores","null","35.6895165","139.6976186","バンダイ公式店舗API(住所完全一致)","2026-07-22"
"b004103a-7f8c-47bf-b73d-2b7f950e6700","GiGO石岡","GiGO","candidate","茨城県","null","茨城県石岡市東大橋中峯1976-1","https://www.gendagigo.jp/shop.html","null","36.1986","140.3034","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"b0cf480b-1dd2-43ae-96ad-64a2b92a6f16","ガチャガチャの森ゆめタウン廿日市店","ガチャガチャの森","confirmed","広島県","null","広島県廿日市市下平良2丁目2-1 ゆめタウン廿日市2F","https://www.gachagachanomori.com/shoplist","null","34.3456135895637","132.336123896481","バンダイ公式店舗API(店舗名完全一致)","2026-07-22"
"b0f7c848-643d-4216-bb2b-0321f7943ab2","カプセル楽局北千住東口店","カプセル楽局","confirmed","東京都","null","東京都足立区千住旭町35-18 書店ビル2","https://www.warehousenet.jp/capsule","null","35.7493307","139.8054628","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b195114a-2005-41e4-ae68-53931f38524a","カプセル楽局川口駅前店","カプセル楽局","confirmed","埼玉県","null","埼玉県川口市栄町3丁目5番9号 安藤ビル1F","https://www.warehousenet.jp/capsule","null","35.8035241","139.7179148","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b3eda282-e6fe-460f-8333-53cdbca3c8f2","GiGO和泉","GiGO","candidate","大阪府","null","大阪府和泉市肥子町2-4-41","https://www.gendagigo.jp/shop.html","null","34.4867","135.418","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"b42aeacd-a1fa-4e91-be0a-65ec5a0aa21b","GiGOイオンモール新発田","GiGO","candidate","新潟県","null","新潟県新発田市住吉町5-11-5 イオンモール新発田店 2F","https://www.gendagigo.jp/shop.html","null","37.9427","139.308","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"b85ac051-cb35-40a6-9f70-39d338cc4b3a","カプセル楽局大岡山店","カプセル楽局","confirmed","東京都","null","東京都大田区北千束1丁目40番3号","https://www.warehousenet.jp/capsule","null","35.6093611","139.6850563","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b8a2a4db-4e75-4fc6-ac74-997a01831aa8","カプセル楽局谷中銀座商店街店","カプセル楽局","confirmed","東京都","null","東京都台東区谷中3-13-3 谷中SGビル 1F","https://www.warehousenet.jp/capsule","null","35.7277331","139.7651054","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b8dca657-e41f-4005-9909-6021ed4a4580","ヨドバシカメラ マルチメディア札幌","ヨドバシカメラ","candidate","北海道","null","北海道札幌市北区北6条西5-1-22","https://global.yodobashi/stores","null","43.0679261","141.3478095","バンダイ公式店舗API(店舗名完全一致)","2026-07-22"
"b93e34cd-ad74-45f1-b8b3-6cac367a461a","カプセル楽局所沢プロペ通り店","カプセル楽局","confirmed","埼玉県","null","埼玉県所沢市日吉町8番6号","https://www.warehousenet.jp/capsule","null","35.7888443","139.4689251","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b93e521d-e010-49ef-ae5d-7a16995e9fe3","カプセル楽局蒲田駅東口店","カプセル楽局","confirmed","東京都","null","東京都大田区蒲田5丁目24番1号","https://www.warehousenet.jp/capsule","null","35.5626766","139.7192191","カプセル楽局公式Google Mapsリンク","2026-07-22"
"b98e8390-7f86-4339-8d33-b8547ca57d33","GiGO POKER新宿西口","GiGO","candidate","東京都","null","東京都新宿区西新宿1-13-2 松原ビル 6F","https://www.gendagigo.jp/shop.html","null","35.68972038","139.6969209","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"bb726ded-ea13-41c6-8064-c8c4a002afc1","カプセル楽局幡ヶ谷店","カプセル楽局","confirmed","東京都","null","東京都渋谷区幡ヶ谷2丁目9番15号 エーレ幡ヶ谷","https://www.warehousenet.jp/capsule","null","35.6789279","139.6773706","カプセル楽局公式Google Mapsリンク","2026-07-22"
"bbbeb7e5-1558-46f6-8b64-93a0b77d9a2d","GiGO室蘭","GiGO","candidate","北海道","null","北海道室蘭市東町4丁目31番3号","https://www.gendagigo.jp/shop.html","null","42.3426","141.0262","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"bbfd3514-b6ae-41c9-89bb-1a7a4ce7c2c8","GiGO POKER六本木","GiGO","candidate","東京都","null","東京都港区六本木7-14-11 メトロシティ六本木 4F","https://www.gendagigo.jp/shop.html","null","35.6632","139.7316","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
"bcb708db-e4c1-45d6-95d0-e0fa1214e622","ガチャガチャの森イオンモール東員店","ガチャガチャの森","confirmed","三重県","null","三重県員弁郡東員町大字長深字築田510番地1 イオンモール東員3F","https://www.gachagachanomori.com/shoplist","null","35.0621445465717","136.579109696715","バンダイ公式店舗API(店舗名完全一致)","2026-07-22"
"be82bb86-ed69-4e1a-8095-34c69179eb51","カプセル楽局久我山駅北口店","カプセル楽局","confirmed","東京都","null","東京都杉並区久我山4丁目1−9","https://www.warehousenet.jp/capsule","null","35.6882259","139.599791","カプセル楽局公式Google Mapsリンク","2026-07-22"
"bfdcb541-306b-49d8-a306-fc20aacf28ea","GiGOスエヒロボウル徳島","GiGO","candidate","徳島県","null","徳島県徳島市南末広町4","https://www.gendagigo.jp/shop.html","null","34.0611","134.5728","GiGO公式店舗詳細(Google Mapsリンク)","2026-07-22"
