name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ガチャガチャの森 イオンモール四日市北店","ガチャガチャの森","三重県","三重県四日市市富州原町2番40号 イオンモール四日市北2F","35.0088690","136.6554410","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 近鉄四日市駅前店","ガチャガチャの森","三重県","三重県四日市市諏訪栄町7-34 近鉄百貨店四日市店ふれあいモール1F","34.9675220","136.6194920","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール東員店","ガチャガチャの森","三重県","三重県員弁郡東員町大字長深字築田510番地1 イオンモール東員3F","35.0618170","136.5799100","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール東員店","Pon!","三重県","三重県員弁郡東員町大字長深字築田510番地1 イオンモール東員3F","35.0618170","136.5799100","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール新潟亀田インター店","ガチャガチャの森","新潟県","新潟県新潟市江南区下早通柳田1丁目1番1号 イオンモール新潟亀田インター3F","37.8756520","139.0836640","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール甲府昭和店","ガチャガチャの森","山梨県","山梨県中巨摩郡昭和町飯喰1505-1 イオンモール甲府昭和3F","35.6228140","138.5222020","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール甲府昭和店","Pon!","山梨県","山梨県中巨摩郡昭和町飯喰1505-1 イオンモール甲府昭和3F","35.6228140","138.5222020","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ベルシャイン駒ヶ根店","ガチャガチャの森","長野県","長野県駒ヶ根市赤穂1568 ベルシャイン駒ヶ根2F","35.7421720","137.9267120","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 ファボーレ富山店","ガチャガチャの森","富山県","富山県富山市婦中町下轡田165-1 ファボーレ富山2F","36.6626280","137.1713100","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール高岡店","ガチャガチャの森","富山県","富山県高岡市下伏間江383番地 イオンモール高岡東館2F","36.7238730","137.0168610","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 金沢エムザ店","ガチャガチャの森","石川県","石川県金沢市武蔵町15-1 金沢エムザ3F","36.5714870","136.6551360","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
