name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ドリームカプセル イオンモールつくば店","ドリームカプセル","茨城県","茨城県つくば市稲岡66-1 イオンモールつくば3F","36.0345950","140.1327210","ガチャ専門店","","https://www.dreamcapsule.co.jp/shop/","2026-07-18"
"ドリームカプセル 高崎オーパ店","ドリームカプセル","群馬県","群馬県高崎市八島町46-1 高崎オーパ5F","36.3231510","139.0110020","ガチャ専門店","","https://www.dreamcapsule.co.jp/shop/","2026-07-18"
"ドリームカプセル ウニクス上里店","ドリームカプセル","埼玉県","埼玉県児玉郡上里町七本木2272-1 UNICUS上里2F","36.2383500","139.1529080","ガチャ専門店","","https://www.dreamcapsule.co.jp/shop/","2026-07-18"
"ドリームカプセル プレナ幕張店","ドリームカプセル","千葉県","千葉県千葉市美浜区ひび野2-4 プレナ幕張2F","35.6478920","140.0404050","ガチャ専門店","","https://www.dreamcapsule.co.jp/shop/","2026-07-18"
"イオンスタイル札幌発寒","イオン","北海道","北海道札幌市西区発寒8条12丁目1-1","43.0957910","141.2781830","スーパー","","https://www.aeonretail.jp/shop/","2026-07-18"
"イオンスタイルレイクタウン","イオン","埼玉県","埼玉県越谷市レイクタウン3丁目1番地1","35.8824840","139.8283230","スーパー","","https://www.aeonretail.jp/shop/","2026-07-18"
"イオンスタイル幕張新都心","イオン","千葉県","千葉県千葉市美浜区豊砂1-1","35.6560860","140.0265200","スーパー","","https://www.aeonretail.jp/shop/","2026-07-18"
"イオンスタイル品川シーサイド","イオン","東京都","東京都品川区東品川4丁目12-5","35.6113470","139.7483220","スーパー","","https://www.aeonretail.jp/shop/","2026-07-18"
"イオンスタイルナゴヤドーム前","イオン","愛知県","愛知県名古屋市東区矢田南4丁目102-3","35.1885640","136.9446260","スーパー","","https://www.aeonretail.jp/shop/","2026-07-18"
"イトーヨーカドー アリオ札幌店","イトーヨーカドー","北海道","北海道札幌市東区北7条東9丁目2-20","43.0729140","141.3703920","スーパー","","https://stores.itoyokado.co.jp/","2026-07-18"
"イトーヨーカドー 木場店","イトーヨーカドー","東京都","東京都江東区木場1-5-30","35.6661950","139.8049770","スーパー","","https://stores.itoyokado.co.jp/","2026-07-18"
"イトーヨーカドー 大森店","イトーヨーカドー","東京都","東京都大田区大森北2-13-1","35.5872420","139.7325440","スーパー","","https://stores.itoyokado.co.jp/","2026-07-18"
"イトーヨーカドー グランツリー武蔵小杉店","イトーヨーカドー","神奈川県","神奈川県川崎市中原区新丸子東3丁目1135番地1","35.5737690","139.6601560","スーパー","","https://stores.itoyokado.co.jp/","2026-07-18"
"イトーヨーカドー アリオ亀有店","イトーヨーカドー","東京都","東京都葛飾区亀有3丁目49番3号","35.7643430","139.8525390","スーパー","","https://stores.itoyokado.co.jp/","2026-07-18"
"ヨドバシカメラ マルチメディア札幌","ヨドバシカメラ","北海道","北海道札幌市北区北6条西5-1-22","43.0682910","141.3476720","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディア仙台","ヨドバシカメラ","宮城県","宮城県仙台市宮城野区榴岡1丁目3番1号","38.2592320","140.8844760","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ 新宿西口本店","ヨドバシカメラ","東京都","東京都新宿区西新宿1-11-1","35.6899680","139.6980130","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディアAkiba","ヨドバシカメラ","東京都","東京都千代田区神田花岡町1-1","35.6986390","139.7746120","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディア横浜","ヨドバシカメラ","神奈川県","神奈川県横浜市西区北幸1-2-7","35.4674990","139.6201930","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディア梅田","ヨドバシカメラ","大阪府","大阪府大阪市北区大深町1-1","34.7041700","135.4972690","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディア京都","ヨドバシカメラ","京都府","京都府京都市下京区京都駅前 京都タワー横","34.9995840","135.7668910","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ヨドバシカメラ マルチメディア博多","ヨドバシカメラ","福岡県","福岡県福岡市博多区博多駅中央街6-12","33.5885470","130.4221800","家電量販店","","https://www.yodobashi.com/ec/store/list/","2026-07-18"
"ビックカメラ 札幌店","ビックカメラ","北海道","北海道札幌市中央区北5条西2丁目1","43.0676990","141.3529050","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"ビックカメラ 池袋本店","ビックカメラ","東京都","東京都豊島区東池袋1-41-5","35.7315600","139.7130130","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"ビックカメラ 有楽町店","ビックカメラ","東京都","東京都千代田区有楽町1-11-1","35.6753880","139.7628780","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"ビックカメラ 新宿東口店","ビックカメラ","東京都","東京都新宿区新宿3-29-1","35.6911510","139.7032780","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"ビックカメラ 名古屋駅西店","ビックカメラ","愛知県","愛知県名古屋市中村区椿町6-9","35.1703070","136.8798370","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"ビックカメラ なんば店","ビックカメラ","大阪府","大阪府大阪市中央区千日前2-10-1","34.6666680","135.5031740","家電量販店","","https://www.biccamera.com/bc/i/shop/shoplist/","2026-07-18"
"MEGAドン・キホーテ札幌狸小路本店","ドン・キホーテ","北海道","北海道札幌市中央区南3条西4丁目12-1","43.0568770","141.3522190","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"MEGAドン・キホーテ仙台台原店","ドン・キホーテ","宮城県","宮城県仙台市青葉区台原1-7-40","38.2827720","140.8724980","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"MEGAドン・キホーテ渋谷本店","ドン・キホーテ","東京都","東京都渋谷区宇田川町28-6","35.6603390","139.6977390","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"ドン・キホーテ秋葉原店","ドン・キホーテ","東京都","東京都千代田区外神田4-3-3","35.7006650","139.7716980","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"ドン・キホーテ道頓堀店","ドン・キホーテ","大阪府","大阪府大阪市中央区宗右衛門町7-13","34.6694150","135.5025630","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"MEGAドン・キホーテ福岡福重店","ドン・キホーテ","福岡県","福岡県福岡市西区拾六町1-7-1","33.5679130","130.3152770","ディスカウントストア","","https://www.donki.com/store/","2026-07-18"
"アニメイト札幌","アニメイト","北海道","北海道札幌市中央区南2条西1丁目5 丸大ビル2F","43.0580370","141.3564300","アニメショップ","","https://www.animate.co.jp/shop/","2026-07-18"
"アニメイト仙台","アニメイト","宮城県","宮城県仙台市青葉区中央4-1-1 仙台駅前イービーンズ7F","38.2588880","140.8802640","アニメショップ","","https://www.animate.co.jp/shop/","2026-07-18"
"アニメイト池袋本店","アニメイト","東京都","東京都豊島区東池袋1-20-7","35.7310790","139.7153780","アニメショップ","","https://www.animate.co.jp/shop/ikebukuro/","2026-07-18"
"アニメイト秋葉原","アニメイト","東京都","東京都千代田区外神田4-3-1","35.7004050","139.7716670","アニメショップ","","https://www.animate.co.jp/shop/akihabara/","2026-07-18"
"アニメイト梅田","アニメイト","大阪府","大阪府大阪市北区茶屋町10-12 NU茶屋町3F","34.7068140","135.4990690","アニメショップ","","https://www.animate.co.jp/shop/","2026-07-18"
"アニメイト福岡パルコ","アニメイト","福岡県","福岡県福岡市中央区天神2-11-1 福岡パルコ本館8F","33.5904200","130.3988950","アニメショップ","","https://www.animate.co.jp/shop/","2026-07-18"
"TSUTAYA 札幌琴似店","TSUTAYA","北海道","北海道札幌市西区琴似4条1丁目1-1","43.0815120","141.3039250","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"TSUTAYA 西五反田店","TSUTAYA","東京都","東京都品川区西五反田2-27-4 明治安田生命五反田ビル1F","35.6248440","139.7212370","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"TSUTAYA 池袋ロサ店","TSUTAYA","東京都","東京都豊島区西池袋1-37-12 ロサ会館2F","35.7325480","139.7093660","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"TSUTAYA 府中駅前店","TSUTAYA","東京都","東京都府中市府中町1-1-4","35.6729470","139.4797970","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"TSUTAYA EBISUBASHI","TSUTAYA","大阪府","大阪府大阪市中央区道頓堀1-8-19","34.6686820","135.5014040","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"TSUTAYA BOOKSTORE 福岡空港","TSUTAYA","福岡県","福岡県福岡市博多区下臼井767-1 福岡空港国内線ターミナル3F","33.5976180","130.4441220","書店","","https://store-tsutaya.tsite.jp/","2026-07-18"
"ヴィレッジヴァンガード 渋谷本店","ヴィレッジヴァンガード","東京都","東京都渋谷区宇田川町23-3 渋谷第一勧銀共同ビルB1F・B2F","35.6596910","139.6996150","雑貨店","","https://www.village-v.co.jp/shop-list/000198/","2026-07-18"
"ヴィレッジヴァンガード イオンレイクタウンmori店","ヴィレッジヴァンガード","埼玉県","埼玉県越谷市レイクタウン3丁目1番地1 イオンレイクタウンmori3F","35.8824840","139.8283230","雑貨店","","https://www.village-v.co.jp/shopsearch/","2026-07-18"
"ヴィレッジヴァンガード イオンモール名古屋茶屋店","ヴィレッジヴァンガード","愛知県","愛知県名古屋市港区西茶屋2丁目11 イオンモール名古屋茶屋3F","35.1047100","136.8259430","雑貨店","","https://www.village-v.co.jp/shopsearch/","2026-07-18"
"ヴィレッジヴァンガード なんばパークス店","ヴィレッジヴァンガード","大阪府","大阪府大阪市浪速区難波中2-10-70 なんばパークス5F","34.6624110","135.5012510","雑貨店","","https://www.village-v.co.jp/shopsearch/","2026-07-18"
"ヴィレッジヴァンガード 福岡パルコ店","ヴィレッジヴァンガード","福岡県","福岡県福岡市中央区天神2-11-1 福岡パルコ本館7F","33.5904200","130.3988950","雑貨店","","https://www.village-v.co.jp/shopsearch/","2026-07-18"
